,Driver_id,Order_id,Step,Point,Grid,Reposition_Point,Reposition_Grid
282,D282,Idle,2652,"(40.710491242867505, -73.97776805489825)",892a1072d83ffff,"(40.710491242867505, -73.97776805489825)",892a1072d83ffff
283,D283,Idle,2653,"(40.73431002483045, -73.97655802567107)",892a100d3dbffff,"(40.73431002483045, -73.97655802567107)",892a100d3dbffff
284,D284,Idle,2654,"(40.71565549593137, -73.98224682620025)",892a100d36fffff,"(40.71565549593137, -73.98224682620025)",892a100d36fffff
285,D285,Idle,2655,"(40.84632101636081, -73.94233062034051)",892a100ae6fffff,"(40.84632101636081, -73.94233062034051)",892a100ae6fffff
286,D286,Idle,2656,"(40.779957667274374, -73.95049901604402)",892a10089bbffff,"(40.779957667274374, -73.95049901604402)",892a10089bbffff
287,D287,Idle,2657,"(40.71553995107682, -73.98651962374095)",892a1072dd3ffff,"(40.71553995107682, -73.98651962374095)",892a1072dd3ffff
288,D288,Idle,2658,"(40.75990875055329, -74.0075262897737)",892a107250bffff,"(40.75990875055329, -74.0075262897737)",892a107250bffff
289,D289,Idle,2659,"(40.78277098142453, -73.9441823002341)",892a100f24bffff,"(40.78277098142453, -73.9441823002341)",892a100f24bffff
290,D290,Idle,2660,"(40.86500345432315, -73.9366102368561)",892a100aedbffff,"(40.86500345432315, -73.9366102368561)",892a100aedbffff
291,D291,Idle,2661,"(40.77622293520606, -73.99104180602372)",892a1008b0fffff,"(40.77622293520606, -73.99104180602372)",892a1008b0fffff
292,D292,Idle,2662,"(40.7854701478532, -73.94214398351879)",892a100f25bffff,"(40.7854701478532, -73.94214398351879)",892a100f25bffff
293,D293,Idle,2663,"(40.83068485051415, -73.93315674219177)",892a100aaa7ffff,"(40.83068485051415, -73.93315674219177)",892a100aaa7ffff
294,D294,Idle,2664,"(40.70991276239526, -73.99912960639843)",892a1072d5bffff,"(40.70991276239526, -73.99912960639843)",892a1072d5bffff
295,D295,Idle,2665,"(40.72891383254777, -73.98062614592236)",892a100d353ffff,"(40.72891383254777, -73.98062614592236)",892a100d353ffff
296,D296,Idle,2666,"(40.77363893634274, -73.9887989057447)",892a1008b3bffff,"(40.77363893634274, -73.9887989057447)",892a1008b3bffff
297,D297,Idle,2667,"(40.7205883522167, -73.99527313372238)",892a1072cabffff,"(40.7205883522167, -73.99527313372238)",892a1072cabffff
298,D298,Idle,2668,"(40.75308350855082, -73.96658853882022)",892a100d637ffff,"(40.75308350855082, -73.96658853882022)",892a100d637ffff
299,D299,Idle,2669,"(40.752622727967854, -73.98369325948109)",892a100d66fffff,"(40.752622727967854, -73.98369325948109)",892a100d66fffff
300,D300,Idle,2670,"(40.827984365469966, -73.93519752613769)",892a100abdbffff,"(40.827984365469966, -73.93519752613769)",892a100abdbffff
301,D301,Idle,2671,"(40.779499290706894, -73.96761347217155)",892a1008947ffff,"(40.779499290706894, -73.96761347217155)",892a1008947ffff
302,D302,Idle,2672,"(40.7901828932362, -73.9637442008419)",892a10089dbffff,"(40.7901828932362, -73.9637442008419)",892a10089dbffff
303,D303,Idle,2673,"(40.80850924463485, -73.97088285837434)",892a1008c6fffff,"(40.80850924463485, -73.97088285837434)",892a1008c6fffff
304,D304,Idle,2674,"(40.84384759745185, -73.93580270043314)",892a100aa93ffff,"(40.84384759745185, -73.93580270043314)",892a100aa93ffff
305,D305,Idle,2675,"(40.83281567270557, -73.95253305739871)",892a100aa73ffff,"(40.83281567270557, -73.95253305739871)",892a100aa73ffff
306,D306,Idle,2676,"(40.81965504166682, -73.94988299461866)",892a1008c87ffff,"(40.81965504166682, -73.94988299461866)",892a1008c87ffff
307,D307,Idle,2677,"(40.86815856664508, -73.91742139220749)",892a100a13bffff,"(40.86815856664508, -73.91742139220749)",892a100a13bffff
308,D308,Idle,2678,"(40.76530798862223, -74.00345849131178)",892a10725c7ffff,"(40.76530798862223, -74.00345849131178)",892a10725c7ffff
309,D309,Idle,2679,"(40.789722566871724, -73.98086243289394)",892a1008867ffff,"(40.789722566871724, -73.98086243289394)",892a1008867ffff
310,D310,Idle,2680,"(40.73677752993162, -73.98307308046714)",892a100d233ffff,"(40.73677752993162, -73.98307308046714)",892a100d233ffff
311,D311,Idle,2681,"(40.76353380229302, -73.97127552650305)",892a100d613ffff,"(40.76353380229302, -73.97127552650305)",892a100d613ffff
312,D312,Idle,2682,"(40.72023980464045, -74.00809288528414)",892a1072c73ffff,"(40.72023980464045, -74.00809288528414)",892a1072c73ffff
313,D313,Idle,2683,"(40.704517342235036, -74.00319309369571)",892a10728b3ffff,"(40.704517342235036, -74.00319309369571)",892a10728b3ffff
314,D314,Idle,2684,"(40.87839915100985, -73.9306839342623)",892a100a15bffff,"(40.87839915100985, -73.9306839342623)",892a100a15bffff
315,D315,Idle,2685,"(40.80638230701126, -73.95151546362827)",892a1008dcbffff,"(40.80638230701126, -73.95151546362827)",892a1008dcbffff
316,D316,Idle,2686,"(40.846775577806184, -73.92519187517203)",892a100ae37ffff,"(40.846775577806184, -73.92519187517203)",892a100ae37ffff
317,D317,Idle,2687,"(40.71261054956162, -73.99709751749248)",892a1072c27ffff,"(40.71261054956162, -73.99709751749248)",892a1072c27ffff
318,D318,Idle,2688,"(40.76083481518792, -73.97331126335345)",892a100d603ffff,"(40.76083481518792, -73.97331126335345)",892a100d603ffff
319,D319,Idle,2689,"(40.73866412341448, -74.01096353565099)",892a10721abffff,"(40.73866412341448, -74.01096353565099)",892a10721abffff
320,D320,Idle,2690,"(40.72128118681592, -73.96963344556497)",892a100d307ffff,"(40.72128118681592, -73.96963344556497)",892a100d307ffff
321,D321,Idle,2691,"(40.70767842875192, -73.98407321184507)",892a1072d13ffff,"(40.70767842875192, -73.98407321184507)",892a1072d13ffff
322,D322,Idle,2692,"(40.72856691258621, -73.9934481326791)",892a1072c83ffff,"(40.72856691258621, -73.9934481326791)",892a1072c83ffff
323,D323,Idle,2693,"(40.752622727967854, -73.98369325948109)",892a100d66fffff,"(40.752622727967854, -73.98369325948109)",892a100d66fffff
324,D324,Idle,2694,"(40.87851258888019, -73.92639633770462)",892a100a153ffff,"(40.87851258888019, -73.92639633770462)",892a100a153ffff
325,D325,Idle,2695,"(40.7415956561069, -74.00038052370404)",892a100d24fffff,"(40.7415956561069, -74.00038052370404)",892a100d24fffff
326,D326,Idle,2696,"(40.78748316882287, -73.96578151465053)",892a10089cbffff,"(40.78748316882287, -73.96578151465053)",892a10089cbffff
327,D327,Idle,2697,"(40.71519236996042, -73.99933797536255)",892a1072c23ffff,"(40.71519236996042, -73.99933797536255)",892a1072c23ffff
328,D328,Idle,2698,"(40.811782517675, -73.94743736778926)",892a1008ca7ffff,"(40.811782517675, -73.94743736778926)",892a1008ca7ffff
329,D329,Idle,2699,"(40.782198786450444, -73.96557660726104)",892a1008957ffff,"(40.782198786450444, -73.96557660726104)",892a1008957ffff
330,D330,Idle,2700,"(40.79041210647762, -73.95518504520979)",892a1008d6fffff,"(40.79041210647762, -73.95518504520979)",892a1008d6fffff
331,D331,Idle,2701,"(40.74205891293703, -73.98327976027291)",892a100d217ffff,"(40.74205891293703, -73.98327976027291)",892a100d217ffff
332,D332,Idle,2702,"(40.71789033541888, -73.99730566967641)",892a1072c33ffff,"(40.71789033541888, -73.99730566967641)",892a1072c33ffff
333,D333,Idle,2703,"(40.80615337320435, -73.96007752518602)",892a1008c2fffff,"(40.80615337320435, -73.96007752518602)",892a1008c2fffff
334,D334,Idle,2704,"(40.868384306211546, -73.90884809116154)",892a100a1afffff,"(40.868384306211546, -73.90884809116154)",892a100a1afffff
335,D335,Idle,2705,"(40.744178379188895, -74.00262255098242)",892a100d24bffff,"(40.744178379188895, -74.00262255098242)",892a100d24bffff
336,D336,Idle,2706,"(40.725868666251074, -73.99548111586327)",892a1072c8fffff,"(40.725868666251074, -73.99548111586327)",892a1072c8fffff
337,D337,Idle,2707,"(40.8704069571125, -73.93252537326325)",892a100a3b7ffff,"(40.8704069571125, -73.93252537326325)",892a100a3b7ffff
338,D338,Idle,2708,"(40.73936041044823, -73.98531389573236)",892a100d207ffff,"(40.73936041044823, -73.98531389573236)",892a100d207ffff
339,D339,Idle,2709,"(40.78736824871381, -73.9700608383572)",892a1008827ffff,"(40.78736824871381, -73.9700608383572)",892a1008827ffff
340,D340,Idle,2710,"(40.85735318757529, -73.92559318149429)",892a100ae8fffff,"(40.85735318757529, -73.92559318149429)",892a100ae8fffff
341,D341,Idle,2711,"(40.79041210647762, -73.95518504520979)",892a1008d6fffff,"(40.79041210647762, -73.95518504520979)",892a1008d6fffff
342,D342,Idle,2712,"(40.8224696165392, -73.94356089998848)",892a100ab5bffff,"(40.8224696165392, -73.94356089998848)",892a100ab5bffff
343,D343,Idle,2713,"(40.77140110911551, -73.97372268113838)",892a100d6d3ffff,"(40.77140110911551, -73.97372268113838)",892a100d6d3ffff
344,D344,Idle,2714,"(40.75049982910343, -73.9643481316797)",892a100d0cbffff,"(40.75049982910343, -73.9643481316797)",892a100d0cbffff
345,D345,Idle,2715,"(40.76680573317108, -73.94785250922335)",892a100d4cfffff,"(40.76680573317108, -73.94785250922335)",892a100d4cfffff
346,D346,Idle,2716,"(40.79052647560961, -73.95090545765932)",892a1008d67ffff,"(40.79052647560961, -73.95090545765932)",892a1008d67ffff
347,D347,Idle,2717,"(40.8169546065634, -73.95192236348562)",892a1008cbbffff,"(40.8169546065634, -73.95192236348562)",892a1008cbbffff
348,D348,Idle,2718,"(40.73619809683179, -74.00444661282785)",892a10721a7ffff,"(40.73619809683179, -74.00444661282785)",892a10721a7ffff
349,D349,Idle,2719,"(40.797822957309734, -73.97475203687154)",892a1008803ffff,"(40.797822957309734, -73.97475203687154)",892a1008803ffff
350,D350,Idle,2720,"(40.81402511121315, -73.9625250031948)",892a1008c0fffff,"(40.81402511121315, -73.9625250031948)",892a1008c0fffff
351,D351,Idle,2721,"(40.766462471951954, -73.96068475853083)",892a100d697ffff,"(40.766462471951954, -73.96068475853083)",892a100d697ffff
352,D352,Idle,2722,"(40.85206420840388, -73.92539250569737)",892a100aeabffff,"(40.85206420840388, -73.92539250569737)",892a100aeabffff
353,D353,Idle,2723,"(40.80413854869358, -73.93643094189662)",892a1008d83ffff,"(40.80413854869358, -73.93643094189662)",892a1008d83ffff
